employee_id,first_name,last_name,date_of_birth,gender,job_title,company,salary,metro_area,work_zip_code,home_zip_code,work_benefits
EMP0001,Paul,Travis,1973-09-03,M,Brewing technologist,Green Energy Ltd,139507,Phoenix Metro,85028,85011,"4/7Premium health insurance through BlueCross, 2 virtual mental health counseling, $500 monthly commuter benefits, Annual health screening services"
EMP0002,Aaron,Campbell,1975-02-25,F,"Therapist, sports",Digital Innovations,119556,Los Angeles Metro,91460,90148,"24/7 virtual mental health counseling, Gym membership reimbursement up to $100/month, Pet insurance through TrustedPals, Annual health screening services, Premium health insurance through BlueCross"
EMP0003,Kelsey,Delgado,1997-11-28,NB,Visual merchandiser,TechCorp Solutions,80532,Phoenix Metro,85020,85046,"Gym membership reimbursement up to $100/month, Premium health insurance through BlueCross, 20% off Peloton equipment and memberships"
EMP0004,Tracy,Jordan,1965-12-13,M,Museum education officer,Digital Innovations,181900,Los Angeles Metro,91202,91181,"$500 monthly commuter benefits, Annual health screening services, Premium health insurance through BlueCross, Pet insurance through TrustedPals"
EMP0005,Virginia,Clarke,1997-03-24,F,Furniture designer,Digital Innovations,106613,Los Angeles Metro,91514,91243,"$2500 annual wellness stipend, 15% discount on local fitness classes, Pet insurance through TrustedPals"
EMP0006,Eric,Clark,1998-11-08,F,Tax adviser,TechCorp Solutions,89716,Chicago Metro,60657,60752,"Dental and vision coverage through MetLife, Annual health screening services, $500 monthly commuter benefits, Premium health insurance through BlueCross, 24/7 virtual mental health counseling"
EMP0007,Tonya,Black,1961-03-30,NB,Adult guidance worker,HealthFirst Systems,77328,Los Angeles Metro,90303,90298,"$500 monthly commuter benefits, Pet insurance through TrustedPals, 20% off Peloton equipment and memberships, Annual health screening services"
EMP0008,Tonya,Wells,1992-07-05,NB,Equities trader,HealthFirst Systems,98106,Chicago Metro,60619,60770,"15% discount on local fitness classes, 20% off Peloton equipment and memberships, $2500 annual wellness stipend, Annual health screening services, Premium health insurance through BlueCross"
EMP0009,Elizabeth,Duran,1999-09-12,M,"Sales professional, IT",HealthFirst Systems,153978,New York Metro,10661,07009,"24/7 virtual mental health counseling, Gym membership reimbursement up to $100/month, $2500 annual wellness stipend"
EMP0010,Jeffrey,Tanner,1992-09-19,M,Public affairs consultant,HealthFirst Systems,118747,Phoenix Metro,85041,85023,"$2500 annual wellness stipend, Dental and vision coverage through MetLife, Premium health insurance through BlueCross, 20% off Peloton equipment and memberships"
EMP0011,Michael,Hall,1978-10-08,M,Personnel officer,Digital Innovations,134358,Los Angeles Metro,90408,90184,"24/7 virtual mental health counseling, Gym membership reimbursement up to $100/month, Dental and vision coverage through MetLife"
EMP0012,Willie,Campbell,1989-04-22,F,Barista,Digital Innovations,166613,Los Angeles Metro,90742,90306,"15% discount on local fitness classes, $500 monthly commuter benefits, Pet insurance through TrustedPals"
EMP0013,Dylan,West,1989-04-24,F,Environmental education officer,Digital Innovations,139799,Los Angeles Metro,90555,91115,"$2500 annual wellness stipend, Dental and vision coverage through MetLife, 20% off Peloton equipment and memberships, Premium health insurance through BlueCross"
EMP0014,Emily,Peters,2002-07-08,M,"Restaurant manager, fast food",TechCorp Solutions,173330,Phoenix Metro,85002,85054,"20% off Peloton equipment and memberships, Pet insurance through TrustedPals, 24/7 virtual mental health counseling, Annual health screening services"
EMP0015,Danny,Brown,1988-10-11,M,Catering manager,Digital Innovations,103422,Houston Metro,77586,77422,"20% off Peloton equipment and memberships, $500 monthly commuter benefits, Annual health screening services, Gym membership reimbursement up to $100/month, 24/7 virtual mental health counseling"
EMP0016,Karen,Kelly,1979-11-03,M,Electronics engineer,HealthFirst Systems,88258,Los Angeles Metro,91160,90199,"$500 monthly commuter benefits, Annual health screening services, 15% discount on local fitness classes, 20% off Peloton equipment and memberships, 24/7 virtual mental health counseling"
EMP0017,Erin,Davis,1991-01-05,NB,Contractor,Digital Innovations,149958,Chicago Metro,60635,60790,"Premium health insurance through BlueCross, Dental and vision coverage through MetLife, $500 monthly commuter benefits"
EMP0018,Amy,Andrews,1968-08-27,F,Logistics and distribution manager,TechCorp Solutions,136437,New York Metro,07096,10839,"Gym membership reimbursement up to $100/month, 15% discount on local fitness classes, Annual health screening services"
EMP0019,Wanda,Bowman,1975-10-16,F,Pension scheme manager,HealthFirst Systems,86138,Phoenix Metro,85019,85030,"Gym membership reimbursement up to $100/month, $2500 annual wellness stipend, $500 monthly commuter benefits, Pet insurance through TrustedPals, 24/7 virtual mental health counseling"
EMP0020,Julie,Moore,1993-01-22,F,Theatre manager,Global Finance Inc,183007,Los Angeles Metro,91422,91352,"Premium health insurance through BlueCross, 15% discount on local fitness classes, 24/7 virtual mental health counseling, Pet insurance through TrustedPals"
EMP0021,Amy,Chandler,1966-08-07,F,Herpetologist,Global Finance Inc,196079,Houston Metro,77268,77245,"Dental and vision coverage through MetLife, 24/7 virtual mental health counseling, $500 monthly commuter benefits, 20% off Peloton equipment and memberships"
EMP0022,Melanie,Reynolds,1977-06-05,NB,Restaurant manager,Global Finance Inc,158272,Houston Metro,77548,77412,"15% discount on local fitness classes, Gym membership reimbursement up to $100/month, Premium health insurance through BlueCross"
EMP0023,Jeffery,Morrow,1966-08-21,NB,Press photographer,TechCorp Solutions,126544,Chicago Metro,60717,60806,"Gym membership reimbursement up to $100/month, 20% off Peloton equipment and memberships, $2500 annual wellness stipend, $500 monthly commuter benefits"
EMP0024,Donald,Weiss,1983-01-09,M,Medical technical officer,Green Energy Ltd,78996,New York Metro,07019,07095,"$500 monthly commuter benefits, Dental and vision coverage through MetLife, 15% discount on local fitness classes"
