doctor_id,first_name,last_name,specialization,metro_area,office_address,office_zip_code,services
DOC0001,Timothy,Singleton,Cardiologist,Chicago Metro,87453 Rush Villages Suite 408,60739,"Blood pressure management, Cardiac imaging, Heart disease treatment"
DOC0002,Lori,Hartman,Psychiatrist,New York Metro,42112 Daniel Course Apt. 073,11029,"Mental health evaluation, Depression treatment, ADHD management"
DOC0003,Tyler,Garcia,Psychiatrist,Chicago Metro,54934 Tina Junction Suite 405,60609,"Mental health evaluation, Depression treatment, ADHD management"
DOC0004,Shelly,Duffy,Cardiologist,Houston Metro,17165 Alyssa Alley,77259,"Blood pressure management, Stress tests"
DOC0005,Amber,Hernandez,Psychiatrist,Phoenix Metro,49532 Erickson Springs,85017,"Depression treatment, Mental health evaluation, Anxiety therapy, ADHD management"
DOC0006,Brandi,Edwards,Primary Care Physician,New York Metro,588 Garza Trafficway,07011,"Annual check-ups, Preventive care"
DOC0007,Marcia,Diaz,Psychiatrist,Chicago Metro,1033 Barbara Port Apt. 229,60629,"Depression treatment, Mental health evaluation, ADHD management, Medication management"
DOC0008,Regina,Coleman,Dermatologist,Houston Metro,968 Potter Lake Suite 311,77321,"Psoriasis treatment, Acne treatment, Skin cancer screening"
DOC0009,John,White,Psychiatrist,Phoenix Metro,663 Kyle Ranch Apt. 825,85011,"Mental health evaluation, Depression treatment"
DOC0010,Michaela,Hicks,Dermatologist,Chicago Metro,7134 Lee Haven,60775,"Eczema care, Skin cancer screening"
DOC0011,Edwin,Whitney,Cardiologist,Houston Metro,5297 Bonnie Mews Suite 816,77515,"Heart disease treatment, Stress tests, Cholesterol management"
DOC0012,Amanda,Abbott,Dermatologist,Houston Metro,0415 Teresa Squares,77369,"Acne treatment, Psoriasis treatment, Skin cancer screening, Eczema care"
DOC0013,Alicia,Wilson,Orthopedist,New York Metro,194 Turner Mews Suite 770,10550,"Arthritis treatment, Fracture care, Sports injuries"
DOC0014,David,Martin,Psychiatrist,Phoenix Metro,9471 Clark Lodge Apt. 971,85051,"Mental health evaluation, Anxiety therapy"
DOC0015,Brandon,Lawrence,Dermatologist,Phoenix Metro,4251 Eric Flat Apt. 268,85038,"Acne treatment, Skin cancer screening"
DOC0016,Jennifer,Thompson,Orthopedist,Los Angeles Metro,50124 Mark Road Apt. 562,91231,"Fracture care, Sports injuries, Physical therapy"
DOC0017,Brian,Ware,Primary Care Physician,New York Metro,39902 Campbell Path Apt. 518,07048,"Vaccinations, Preventive care"
DOC0018,Christopher,Barnes,Psychiatrist,Los Angeles Metro,654 Hansen Isle Apt. 253,90965,"Anxiety therapy, Depression treatment, Medication management"
DOC0019,Benjamin,Sutton,Orthopedist,Los Angeles Metro,4438 Isabella Pine,90210,"Physical therapy, Sports injuries"
DOC0020,Robert,Green,Psychiatrist,Los Angeles Metro,93850 Pam Shores Suite 020,90470,"Anxiety therapy, Mental health evaluation"
